,Sex,Strand,Year Level,Section,Number of Years in AdDU SHS,SBQ1,SBQ2,SBQ3,SBQ4,SBQ5,SBQ6,SBQ7,SBQ8,SBQ9,SBQ10,SBQ11,SBQ12,SBQ13,SBQ14,SBQ15,Spending Behavior,IQ1,IQ2,IQ3,IQ4,IQ5,IQ6,IQ7,IQ8,IQ9,IQ10,Influences,PCQ1,PCQ2,PCQ3,PCQ4,PCQ5,PCQ6,PCQ7,PCQ8,PCQ9,PCQ10,Perceived Changes,,,,
17,2,3,2,63,2,2,3,2,2,3,2,3,3,2,2,3,3,3,2,3,2.533333333,3,2,3,2,3,3,2,2,3,3,2.6,3,3,3,3,2,3,3,3,2,3,2.8,,,,
18,2,3,2,68,2,2,2,3,4,3,1,4,4,3,2,4,3,3,3,2,2.866666667,3,3,2,3,4,3,3,4,1,4,3,4,4,3,4,3,3,4,3,1,3,3.2,,,,
18,2,3,2,57,2,3,3,4,4,3,2,4,3,3,3,4,3,2,2,3,3.066666667,3,2,2,3,3,3,2,4,2,3,2.7,3,2,3,3,3,4,4,3,2,3,3,,,,
17,2,3,1,16,1,3,4,3,3,4,3,3,4,3,2,4,3,3,3,3,3.2,3,3,2,3,3,4,3,4,3,4,3.2,4,3,4,4,3,2,4,3,2,4,3.3,,,,
18,1,3,2,56,2,2,3,2,4,3,2,3,2,2,2,2,2,2,2,2,2.333333333,2,2,2,3,2,2,2,2,2,2,2.1,2,2,2,2,2,2,2,1,2,2,1.9,,,,
17,2,3,2,68,2,3,3,3,3,3,3,2,3,3,2,4,2,2,3,3,2.8,4,2,2,3,3,2,2,3,3,4,2.8,3,3,3,4,3,2,3,3,2,3,2.9,,,,
18,2,3,2,67,2,3,4,3,3,3,4,4,4,4,3,4,3,2,4,4,3.466666667,4,3,3,4,3,2,3,4,3,4,3.3,4,3,4,4,4,4,4,3,2,4,3.6,,,,
18,1,3,2,59,2,2,3,2,3,3,3,2,2,4,2,3,2,4,2,2,2.6,3,2,2,4,3,2,2,3,3,2,2.6,3,3,3,4,3,3,4,3,2,3,3.1,,,,
17,2,3,1,25,1,3,3,3,3,4,4,4,3,3,2,4,3,2,2,2,3,4,4,3,3,3,3,2,4,3,4,3.3,4,3,4,4,3,4,4,4,3,4,3.7,,,,
17,2,3,1,19,1,2,3,2,3,2,1,3,3,2,1,4,2,2,4,1,2.333333333,3,2,2,3,3,3,2,3,2,3,2.6,2,3,3,3,3,3,3,2,1,4,2.7,,,,
18,2,3,2,65,2,4,3,4,3,3,3,3,3,4,3,2,4,3,4,4,3.333333333,3,4,2,3,4,3,3,3,2,4,3.1,4,3,3,4,4,4,4,4,3,4,3.7,,,,
18,2,3,2,61,1,3,3,3,4,4,3,4,4,4,3,4,3,4,4,3,3.533333333,4,4,3,2,4,3,3,4,4,3,3.4,3,4,4,4,4,4,3,4,3,4,3.7,,,,
16,2,1,1,4,1,1,3,4,4,4,4,4,4,4,3,4,2,3,2,1,3.133333333,3,2,3,4,4,3,4,4,2,4,3.3,4,4,3,4,3,3,3,3,3,3,3.3,,,,
17,2,3,2,63,2,3,3,2,3,4,2,4,4,4,3,4,4,2,3,2,3.133333333,3,3,3,2,3,4,2,4,2,2,2.8,4,3,3,4,3,4,3,4,3,4,3.5,,,,
18,2,3,2,64,2,3,3,4,4,4,3,4,4,4,3,4,4,3,4,3,3.6,4,3,2,4,4,3,3,4,3,4,3.4,4,4,4,4,4,4,4,4,3,4,3.9,,,,
18,2,3,2,56,2,1,4,4,3,4,4,4,4,4,1,4,2,2,1,1,2.866666667,4,3,2,4,4,4,3,4,4,4,3.6,4,1,3,3,1,4,4,4,1,4,2.9,,,,
18,2,3,2,59,2,4,4,3,4,2,2,3,2,3,3,4,4,2,4,4,3.2,3,2,4,2,3,4,2,3,4,2,2.9,2,3,3,4,3,4,4,3,2,4,3.2,,,,
18,2,3,2,61,2,4,3,3,4,2,2,3,4,3,2,3,3,4,3,3,3.066666667,3,3,4,2,3,4,3,3,4,4,3.3,4,4,3,4,2,3,3,3,2,2,3,,,,
17,2,3,2,57,2,3,3,3,3,4,4,4,4,4,3,4,3,2,3,3,3.333333333,3,2,2,3,3,2,3,4,2,4,2.8,3,3,4,4,4,4,3,4,3,4,3.6,,,,
17,2,3,2,64,2,3,3,3,3,2,4,4,4,4,3,4,4,4,4,4,3.533333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3.1,,,,
18,2,3,2,56,2,4,4,4,3,4,4,4,4,4,3,2,4,4,3,4,3.666666667,4,4,3,2,3,4,3,3,4,4,3.4,4,4,4,4,4,4,4,4,3,4,3.9,,,,
17,1,4,1,39,1,2,3,4,3,3,2,4,4,3,3,3,2,2,2,2,2.8,2,3,4,3,3,3,3,3,3,4,3.1,3,3,3,4,4,4,3,4,3,4,3.5,,,,
